# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
ni lai ba 	你來吧	c=1 d=1 t=41177
ni lai wo 	你來我	c=1 d=3.52051e-13 t=42928
ni mei 	你沒	c=0 d=3.483e-35 t=42928
ni mei kan jian 	你沒看見	c=1 d=3.50046e-34 t=42928
ni men 	你們	c=72 d=0.891411 t=42928
ni men lia 	你們倆	c=1 d=1.22912e-74 t=42928
ni neng 	你能	c=2 d=5.29541e-51 t=42928
ni qiu 	泥鰍	c=1 d=8.55458e-76 t=42928
ni qu 	你去	c=1 d=0.00267181 t=42928
ni shang ci 	你上次	c=1 d=1.81112e-17 t=42928
ni shi 	你是	c=1 d=8.93797e-33 t=42928
ni shi bu shi 	你是不是	c=1 d=1.81705e-26 t=42928
ni shuo 	你說	c=17 d=0.000126534 t=42928
ni shuo de 	你說的	c=1 d=4.49544e-36 t=42928
ni xia ci 	你下次	c=1 d=1.19629e-79 t=42928
ni xia lai ba 	你下來把	c=1 d=8.88223e-77 t=42928
ni xian 	你先	c=1 d=1 t=41420
ni xian zai 	你現在	c=1 d=1.57698e-06 t=42928
ni yao 	你要	c=3 d=1.35732e-06 t=42928
ni ye 	你也	c=2 d=0.000170803 t=42928
ni yong 	你用	c=1 d=1.66297e-13 t=42928
ni you 	你有	c=1 d=9.05116e-34 t=42928
ni you shi jian de hua 	你有時間的話	c=1 d=1 t=41561
ni zhe bian 	你這邊	c=9 d=0.0153752 t=42928
ni zhe ge 	你這個	c=1 d=3.59641e-58 t=42928
ni zhe me shuo 	你這麼說	c=1 d=5.33391e-48 t=42928
ni zhi dao 	你知道	c=1 d=3.27225e-35 t=42928
nian 	唸	c=0 d=1.58429e-32 t=42928
nian 	年	c=14 d=0.026246 t=42928
nian di 	年底	c=2 d=7.41323e-09 t=42928
nian hou 	年後	c=1 d=1.72755e-20 t=42928
nian hui 	年會	c=1 d=1 t=41775
nian ling 	年齡	c=2 d=2.08112e-05 t=42928
nian xian 	年限	c=1 d=2.29129e-19 t=42928
nian zhong 	年中	c=1 d=7.82679e-30 t=42928
nian zhong 	年終	c=4 d=0.000388604 t=42928
nian zhong jiang 	年終獎	c=1 d=1.18712e-18 t=42928
niao 	尿	c=1 d=7.79281e-67 t=42928
niao ge 	鳥哥	c=2 d=2.53098e-13 t=42928
niao gu 	溺谷	c=1 d=3.09704e-64 t=42928
nin 	您	c=1 d=5.56993e-28 t=42928
nin hao 	您好	c=1 d=5.0001e-23 t=42928
nin shuo 	您說	c=1 d=5.8263e-28 t=42928
ning zhi 	寧芝	c=4 d=1.01422e-47 t=42928
niu 	牛	c=2 d=5.56596e-49 t=42928
niu bi 	牛逼	c=3 d=1.14805e-36 t=42928
niu pai 	牛排	c=0 d=4.82976e-28 t=42928
nong 	弄	c=14 d=0.0439369 t=42928
nong bu hao 	弄不好	c=1 d=1.2653e-33 t=42928
nong chu lai 	弄出來	c=1 d=3.8644e-80 t=42928
nong de 	弄得	c=1 d=1.67729e-55 t=42928
nong dian 	弄點	c=1 d=1.01398e-75 t=42928
nong ge 	弄個	c=1 d=1.10853e-65 t=42928
nong guo qu 	弄過去	c=1 d=2.38262e-67 t=42928
nong hao 	弄好	c=1 d=6.11669e-12 t=42928
nong le 	弄了	c=1 d=2.00188e-48 t=42928
nong wan 	弄完	c=1 d=7.3735e-34 t=42928
nong wan 	弄彎	c=1 d=7.33673e-34 t=42928
nong yi nong 	弄一弄	c=1 d=4.35887e-26 t=42928
nuan feng 	暖風	c=3 d=1.34706e-05 t=42928
nuan qi 	暖氣	c=1 d=0.194952 t=42928
nv peng you 	女朋友	c=1 d=2.16609e-05 t=42928
nv shi 	女士	c=1 d=7.57175e-52 t=42928
o 	哦	c=12 d=4.50722e-08 t=42928
o o 	哦哦	c=2 d=9.82004e-52 t=42928
ou er 	偶爾	c=1 d=7.24644e-06 t=42928
pa 	怕	c=2 d=0.14816 t=42928
pa sha 	怕啥	c=1 d=1.54544e-33 t=42928
pai 	排	c=7 d=3.77224e-10 t=42928
pai 	派	c=1 d=3.36445e-09 t=42928
pai 	牌	c=2 d=8.87373e-07 t=42928
pai ban 	拍板	c=1 d=9.26865e-78 t=42928
pai ban 	排版	c=1 d=3.92761e-66 t=42928
pai ban cuo wu 	排版錯誤	c=1 d=3.9473e-65 t=42928
pai bu kai 	排不開	c=1 d=1.84325e-18 t=42928
pai bu shang 	排不上	c=1 d=2.27243e-10 t=42928
pai cha 	排查	c=11 d=2.01672e-28 t=42928
pai chu 	排除	c=1 d=3.98493e-59 t=42928
pai chu suo 	派出所	c=3 d=1.35521e-17 t=42928
pai huai 	徘徊	c=1 d=1.52897e-54 t=42928
pai qi 	排期	c=22 d=0.000220415 t=42928
pai qi hui 	排期會	c=1 d=6.42811e-08 t=42928
pai shang 	排上	c=2 d=2.24401e-09 t=42928
pai zhe 	排着	c=1 d=1.18418e-77 t=42928
pai zi 	牌子	c=2 d=0.00065886 t=42928
pan ding 	判定	c=36 d=0.583285 t=42928
pan duan 	判斷	c=43 d=2.00276e-06 t=42928
pang pang 	胖胖	c=2 d=2.91217e-33 t=42928
pao 	泡	c=1 d=1 t=40006
pao 	跑	c=9 d=0.208045 t=42928
pao bu 	跑步	c=1 d=0.00037447 t=42928
pao bu tong 	跑不通	c=1 d=3.24531e-26 t=42928
pao dao 	跑到	c=1 d=2.55859e-23 t=42928
pao lai 	跑來	c=1 d=2.64182e-76 t=42928
pao qi lai 	跑起來	c=1 d=1.18749e-51 t=42928
pei 	賠	c=0 d=1.76569e-72 t=42928
pei 	配	c=15 d=0.139457 t=42928
pei 	陪	c=1 d=3.9343e-85 t=42928
pei ban 	配班	c=1 d=3.80557e-76 t=42928
pei du 	陪讀	c=1 d=0.0939493 t=42928
pei gan jing 	賠乾淨	c=1 d=1.77454e-71 t=42928
pei ge 	配個	c=1 d=1.21461e-52 t=42928
pei hao 	配好	c=1 d=7.57845e-33 t=42928
pei he 	配合	c=12 d=1.32061e-07 t=42928
pei le 	配了	c=3 d=9.32315e-12 t=42928
pei lie 	配列	c=1 d=4.15405e-48 t=42928
pei yang 	培養	c=1 d=3.35691e-12 t=42928
pei zhi 	配置	c=127 d=1.63073 t=42928
pen 	噴	c=1 d=5.88767e-63 t=42928
peng 	碰	c=1 d=5.77146e-05 t=42928
peng dao 	碰到	c=1 d=1.61273e-05 t=42928
peng you 	朋友	c=3 d=1.77345e-05 t=42928
pi fu 	皮膚	c=1 d=0.000347412 t=42928
pi ka 	皮卡	c=3 d=5.17556e-17 t=42928
pi liang 	批量	c=28 d=4.85823e-07 t=42928
pi mei 	媲美	c=1 d=1 t=39317
pi pan 	批判	c=2 d=2.54367e-13 t=42928
pi pei 	匹配	c=4 d=3.67638e-25 t=42928
pi sa 	批薩	c=2 d=2.20414e-33 t=42928
pian cha 	偏差	c=2 d=3.17176e-21 t=42928
pian fang 	偏方	c=1 d=0.000359786 t=42928
pian yi 	便宜	c=1 d=0.000164502 t=42928
piao pai 	票排	c=1 d=7.82413e-26 t=42928
pin 	拼	c=4 d=4.74073e-14 t=42928
pin dao 	頻道	c=1 d=4.77002e-57 t=42928
pin duo duo 	拼多多	c=2 d=4.39818e-14 t=42928
pin jie 	拼接	c=1 d=1.13953e-66 t=42928
pin lv 	頻率	c=2 d=2.00992e-07 t=42928
pin yin 	拼音	c=0 d=6.42114e-55 t=42928
pin yin ci 	拼音詞	c=4 d=0.000794051 t=42928
pin yin ci ku 	拼音詞庫	c=1 d=3.84068e-37 t=42928
pin zhuang 	拼裝	c=1 d=4.17261e-71 t=42928
ping 	平	c=1 d=8.54904e-39 t=42928
ping bai wu gu 	平白無故	c=1 d=2.04516e-35 t=42928
ping bi 	屏蔽	c=1 d=6.39496e-06 t=42928
ping gu 	評估	c=10 d=2.17207e-08 t=42928
ping heng 	平衡	c=1 d=2.21241e-49 t=42928
ping heng gan 	平衡杆	c=1 d=2.2235e-48 t=42928
ping jia 	評價	c=1 d=3.95267e-81 t=42928
ping jie 	憑藉	c=1 d=1.37587e-48 t=42928
ping jun 	平均	c=12 d=0.000297529 t=42928
ping jun zhi 	平均值	c=1 d=3.21401e-59 t=42928
ping lun 	評論	c=85 d=4.86385 t=42928
ping mu 	屏幕	c=1 d=2.48366e-85 t=42928
ping shen 	評審	c=5 d=4.70601e-08 t=42928
ping shi 	平時	c=2 d=2.10996e-49 t=42928
ping tai 	平臺	c=38 d=0.264477 t=42928
po 	破	c=3 d=1.15943e-05 t=42928
po jie 	破解	c=2 d=8.40601e-17 t=42928
pu tao ya yu 	葡萄牙語	c=1 d=4.52644e-58 t=42928
pu tong 	普通	c=9 d=2.57229e-13 t=42928
pu tong ren jia 	普通人家	c=1 d=6.80638e-63 t=42928
pu tong zu 	普通組	c=1 d=5.47005e-21 t=42928
qi 	其	c=1 d=3.70077e-71 t=42928
qi 	器	c=1 d=7.89528e-61 t=42928
qi 	氣	c=1 d=9.65019e-82 t=42928
qi 	起	c=9 d=0.000186669 t=42928
qi an 	奇案	c=1 d=4.64419e-66 t=42928
qi bu lai 	起不來	c=1 d=0.240508 t=42928
qi bu shi 	豈不是	c=1 d=2.26811e-17 t=42928
qi ceng 	七層	c=1 d=1.93974e-30 t=42928
qi che 	騎車	c=3 d=1.11396e-05 t=42928
qi chong 	起重	c=1 d=1.78167e-30 t=42928
qi dian 	七點	c=0 d=9.57789e-24 t=42928
qi dian 	起點	c=1 d=7.08439e-34 t=42928
qi dian ban 	七點半	c=1 d=9.6259e-23 t=42928
qi dian er shi 	七點二十	c=1 d=7.1199e-34 t=42928
qi dong 	啓動	c=20 d=6.30255e-08 t=42928
qi fa 	啓發	c=1 d=2.86691e-38 t=42928
qi guai 	奇怪	c=2 d=1.10435e-50 t=42928
qi hou 	其後	c=1 d=1.17892e-54 t=42928
qi hou 	氣候	c=1 d=1.17304e-54 t=42928
qi jian 	期間	c=2 d=0.162838 t=42928
qi jian 	起見	c=1 d=1.54281e-13 t=42928
qi lai 	起來	c=10 d=0.454487 t=42928
qi ma 	起碼	c=1 d=3.71375e-24 t=42928
qi shi 	其實	c=54 d=0.110861 t=42928
qi ta 	其他	c=55 d=0.881211 t=42928
qi ta de 	其他的	c=1 d=0.00527382 t=42928
qi ta ren 	其他人	c=1 d=5.90009e-29 t=42928
qi yi 	歧義	c=1 d=5.62573e-57 t=42928
qi yu 	其餘	c=2 d=1.57508e-70 t=42928
qi zhi 	起止	c=2 d=5.25266e-40 t=42928
qi zhong 	其中	c=8 d=3.23143e-05 t=42928
qian 	前	c=6 d=0.0818637 t=42928
qian 	遷	c=5 d=5.16923e-32 t=42928
qian 	錢	c=14 d=9.3287e-07 t=42928
qian dao 	簽到	c=9 d=1.76472e-61 t=42928
qian duan 	前段	c=1 d=1.6453e-05 t=42928
qian duan 	前端	c=31 d=0.000562812 t=42928
qian duan ji 	前端即	c=3 d=0.00551656 t=42928
qian duan ji 	前端機	c=1 d=0.00565622 t=42928
qian guo lai 	遷過來	c=1 d=3.05632e-26 t=42928
qian he tong 	簽合同	c=3 d=2.25861e-17 t=42928
qian hou 	前後	c=1 d=4.00968e-73 t=42928
qian ji tian 	前幾天	c=7 d=0.00103848 t=42928
qian li ma 	千里馬	c=1 d=4.26502e-64 t=42928
qian lian 	牽連	c=1 d=2.69198e-62 t=42928
qian liang 	前兩	c=0 d=2.83781e-66 t=42928
qian liang ge 	前兩個	c=2 d=5.71835e-65 t=42928
qian liang tian 	前兩天	c=2 d=1.99229e-21 t=42928
qian mian 	前面	c=10 d=2.77603e-12 t=42928
qian ming 	簽名	c=2 d=3.90546e-20 t=42928
qian she 	牽涉	c=1 d=1.06618e-48 t=42928
qian tai 	前臺	c=1 d=4.49711e-11 t=42928
qian ti 	前提	c=2 d=1.45975e-38 t=42928
qian tian 	前天	c=1 d=3.13913e-17 t=42928
qian tu 	前途	c=1 d=3.09187e-15 t=42928
qian wan 	千萬	c=2 d=9.37502e-50 t=42928
qian yi 	遷移	c=17 d=1.1991 t=42928
qian yi guo lai 	錢一過來	c=1 d=9.10088e-69 t=42928
qian yi tian 	前一天	c=1 d=1.80479e-64 t=42928
qian zhui 	前綴	c=6 d=2.73185e-29 t=42928
qiang diao 	強調	c=1 d=1.33475e-44 t=42928
qiang li 	強力	c=1 d=5.44241e-79 t=42928
qiang lie 	強烈	c=2 d=2.07707e-70 t=42928
qiang wai 	強外	c=1 d=3.4804e-84 t=42928
qiang wai 	牆外	c=1 d=3.49785e-84 t=42928
qiang zhi 	強制	c=1 d=9.0324e-39 t=42928
qiao 	巧	c=1 d=1.5823e-75 t=42928
qiao li ming mu 	巧立名目	c=1 d=5.47546e-62 t=42928
qie 	且	c=4 d=1.23842e-15 t=42928
qie 	切	c=7 d=1.09184e-63 t=42928
qie guo lai 	切過來	c=1 d=1.66666e-39 t=42928
qie huan 	切換	c=2 d=0.0148464 t=42928
qie ku 	切庫	c=5 d=1.20646e-61 t=42928
qie qu 	竊取	c=1 d=6.71097e-44 t=42928
qin 	嗪	c=0 d=7.7518e-06 t=42928
qing 	清	c=1 d=3.32386e-72 t=42928
qing 	請	c=4 d=0.585669 t=42928
qing 	輕	c=5 d=9.69689e-07 t=42928
qing cha 	清查	c=5 d=5.26289e-08 t=42928
qing chu 	清楚	c=8 d=3.66481e-15 t=42928
qing chun 	青春	c=0 d=2.94389e-86 t=42928
qing cui 	清脆	c=1 d=5.28084e-48 t=42928
qing hu lve 	請忽略	c=1 d=1 t=39992
qing jia 	請假	c=6 d=0.769707 t=42928
qing jiao 	請教	c=1 d=0.0144798 t=42928
qing kong 	清空	c=1 d=4.82796e-52 t=42928
qing kuang 	情況	c=63 d=0.137321 t=42928
qing le 	請了	c=1 d=4.5561e-76 t=42928
qing li 	清理	c=1 d=5.51733e-34 t=42928
qing liang 	輕量	c=1 d=1 t=42625
qing qi 	清奇	c=1 d=0.117068 t=42928
qing qiu 	請求	c=17 d=0.00187922 t=42928
qing shi 	請示	c=1 d=1.3085e-75 t=42928
qing shuang 	清爽	c=1 d=9.40613e-16 t=42928
qing wen 	請問	c=1 d=3.60522e-28 t=42928
qing xi 	清晰	c=1 d=3.27291e-08 t=42928
qing xi 	清洗	c=1 d=1.50472e-13 t=42928
qiu 	求	c=3 d=0.000584356 t=42928
qiu 	球	c=1 d=1.60045e-05 t=42928
qu 	區	c=3 d=5.04777e-17 t=42928
qu 	去	c=65 d=0.00689342 t=42928
qu 	取	c=42 d=0.312912 t=42928
qu bei 	去唄	c=1 d=1.45742e-49 t=42928
qu bie 	區別	c=5 d=0.000272141 t=42928
qu chong 	去重	c=9 d=0.000828558 t=42928
qu chu 	取出	c=1 d=1 t=40136
qu chu lai 	取出來	c=1 d=4.30216e-19 t=42928
qu dao 	取到	c=1 d=1 t=41078
qu dao 	渠道	c=1 d=0.0378169 t=42928
qu de 	取得	c=1 d=9.79437e-80 t=42928
qu diao 	去掉	c=6 d=5.67858e-20 t=42928
qu fen 	區分	c=16 d=1.13666e-07 t=42928
qu fen bu kai 	區分不開	c=1 d=2.47488e-14 t=42928
qu fen bu kai 	取分不開	c=1 d=2.46253e-14 t=42928
qu guo 	去過	c=1 d=1.63867e-75 t=42928
qu jian 	區間	c=8 d=7.80707e-53 t=42928
qu jian 	取件	c=1 d=1.36195e-46 t=42928
qu jue yu 	取決於	c=1 d=7.80127e-21 t=42928
qu le 	取了	c=1 d=1 t=41257
qu mei qu 	去沒去	c=1 d=2.98746e-52 t=42928
qu ming 	取名	c=0 d=1.09202e-66 t=42928
qu ming zi 	取名字	c=2 d=2.11032e-51 t=42928
qu na er 	去哪兒	c=2 d=4.59876e-68 t=42928
qu nian 	去年	c=3 d=1.20506e-18 t=42928
qu shi 	趨勢	c=1 d=0.00484407 t=42928
qu zheng 	取整	c=1 d=5.24629e-59 t=42928
qu zhi 	取值	c=3 d=5.79034e-14 t=42928
quan 	全	c=13 d=0.0237543 t=42928
quan 	圈	c=2 d=6.29975e-06 t=42928
quan bu 	全部	c=12 d=1.1435 t=42928
quan cheng 	全程	c=1 d=9.28029e-34 t=42928
quan cheng 	全稱	c=1 d=9.32681e-34 t=42928
quan guo 	全國	c=2 d=1.04386e-05 t=42928
quan guo ren 	全國人	c=1 d=2.61553e-76 t=42928
quan hui 	全輝	c=2 d=1.73408e-35 t=42928
quan jia 	全家	c=0 d=0.1 t=39305
quan jia tong 	全家桶	c=1 d=1 t=39306
quan ju 	全局	c=2 d=2.25585e-32 t=42928
quan liang 	全量	c=5 d=0.0448245 t=42928
quan liang 	圈樑	c=1 d=6.03036e-80 t=42928
quan ping 	全屏	c=1 d=1 t=40302
quan tui 	勸退	c=1 d=2.60257e-47 t=42928
quan wo 	勸我	c=1 d=3.81113e-05 t=42928
quan xian 	權限	c=28 d=1.38934e-12 t=42928
quan xin 	全新	c=1 d=7.89553e-74 t=42928
quan xuan 	全選	c=16 d=9.39476e-07 t=42928
quan yuan 	全員	c=1 d=4.44844e-30 t=42928
quan zhong 	權重	c=3 d=2.42228e-41 t=42928
quan zi 	圈子	c=1 d=8.35812e-38 t=42928
que 	卻	c=1 d=2.98788e-83 t=42928
que ding 	確定	c=7 d=0.0254765 t=42928
que ren 	確認	c=33 d=0.0120947 t=42928
que shi 	確實	c=6 d=0.085435 t=42928
que xian 	缺陷	c=1 d=3.01861e-27 t=42928
que zhen 	確診	c=1 d=5.87947e-76 t=42928
qun 	羣	c=4 d=8.07906e-08 t=42928
qun li 	羣裏	c=20 d=0.110967 t=42928
qun zhu 	羣主	c=1 d=3.76475e-08 t=42928
qun zhu 	羣豬	c=1 d=3.74597e-08 t=42928
ran e 	然額	c=1 d=7.19489e-69 t=42928
ran hou 	然後	c=21 d=0.0717254 t=42928
rang 	讓	c=44 d=0.909175 t=42928
rang li yun 	讓麗芸	c=1 d=1.9069e-35 t=42928
rang ni 	讓你	c=7 d=0.65377 t=42928
rang qi 	讓其	c=1 d=5.52502e-21 t=42928
rang ren 	讓人	c=1 d=1.31895e-51 t=42928
rang ren jia 	讓人家	c=1 d=4.01827e-10 t=42928
rang ta 	讓他	c=4 d=2.98289e-34 t=42928
rang ta 	讓它	c=2 d=8.44391e-11 t=42928
rang ta men 	讓他們	c=12 d=9.63595e-06 t=42928
rang wo 	讓我	c=12 d=0.305746 t=42928
rao 	繞	c=1 d=9.38823e-23 t=42928
rao luan 	擾亂	c=1 d=2.37655e-37 t=42928
re 	熱	c=2 d=0.0128424 t=42928
re ku 	熱庫	c=1 d=1 t=40068
re ku 	熱褲	c=1 d=1 t=39665
re men 	熱門	c=2 d=4.26457e-05 t=42928
re men wei bo 	熱門微博	c=1 d=1 t=41377
re shui 	熱水	c=1 d=5.82947e-05 t=42928
ren 	人	c=23 d=0.000660453 t=42928
ren 	忍	c=0 d=8.65317e-06 t=42928
ren 	認	c=4 d=1.82398e-44 t=42928
ren bi jiao duo 	人比較多	c=1 d=7.5199e-30 t=42928
ren bu liao 	忍不了	c=1 d=8.69654e-05 t=42928
ren cai 	人才	c=2 d=6.59787e-12 t=42928
ren ding 	認定	c=1 d=2.14739e-50 t=42928
ren gong 	人工	c=8 d=0.353319 t=42928
ren he 	任何	c=6 d=0.00172074 t=42928
ren ji 	人際	c=1 d=4.12253e-76 t=42928
ren jia 	人家	c=10 d=0.0127558 t=42928
ren ke 	認可	c=3 d=3.59909e-08 t=42928
ren min qun zhong 	人民羣衆	c=1 d=8.2651e-24 t=42928
ren qi 	任其	c=1 d=3.64343e-05 t=42928
ren ren 	人人	c=0 d=0.1 t=41598
ren ren che 	人人車	c=1 d=1 t=41599
ren sheng 	人生	c=1 d=4.66697e-06 t=42928
ren shi 	人事	c=1 d=2.64883e-19 t=42928
ren shi 	認識	c=1 d=3.31471e-69 t=42928
ren tong 	認同	c=1 d=4.79883e-69 t=42928
ren wei 	人爲	c=1 d=2.23358e-13 t=42928
ren wei 	認爲	c=8 d=1.28779e-05 t=42928
ren wu 	任務	c=98 d=8.37148e-09 t=42928
ren wu li 	任務裏	c=1 d=9.61607e-11 t=42928
ren yong 	人用	c=0 d=5.13175e-65 t=42928
ren yuan 	人員	c=9 d=1.87404e-07 t=42928
ren zhen 	認真	c=2 d=4.10796e-05 t=42928
ren zheng 	認證	c=18 d=4.7975e-07 t=42928
ren zheng shi bai 	認證失敗	c=1 d=3.14619e-14 t=42928
ren zhi chang qing 	人之常情	c=1 d=9.51715e-07 t=42928
reng 	仍	c=1 d=3.74712e-41 t=42928
reng 	扔	c=1 d=4.05865e-10 t=42928
reng gei 	扔給	c=0 d=3.79535e-16 t=42928
reng gei wo 	扔給我	c=1 d=3.81437e-15 t=42928
reng le 	扔了	c=1 d=7.73919e-74 t=42928
reng ran 	仍然	c=1 d=5.21124e-39 t=42928
ri 	日	c=24 d=1.58027e-09 t=42928
ri chang 	日常	c=4 d=0.0117959 t=42928
ri jie 	日結	c=1 d=5.34027e-62 t=42928
ri li 	日曆	c=1 d=4.37075e-58 t=42928
ri qi 	日期	c=9 d=6.21212e-34 t=42928
ri zhi 	日誌	c=29 d=0.00423898 t=42928
rong 	容	c=0 d=2.54653e-86 t=42928
rong liang 	容量	c=5 d=0.136014 t=42928
rong qi 	容器	c=26 d=1.60164e-12 t=42928
rong ru 	融入	c=1 d=2.49152e-34 t=42928
rong yu 	冗餘	c=1 d=4.7046e-71 t=42928
rou 	肉	c=1 d=1 t=40158
ru 	入	c=17 d=7.69454e-06 t=42928
ru 	如	c=5 d=0.143873 t=42928
ru chang fei 	入場費	c=1 d=2.47733e-55 t=42928
ru feng 	如風	c=2 d=3.03027e-05 t=42928
ru guo 	如果	c=170 d=0.137782 t=42928
ru guo shi 	如果是	c=0 d=2.36517e-11 t=42928
ru guo shi de hua 	如果是的話	c=1 d=2.37703e-10 t=42928
ru guo shi jian 	如果時間	c=1 d=2.96227e-70 t=42928
ru he 	如何	c=1 d=1 t=40654
ru kou 	入口	c=13 d=0.29523 t=42928
ru ku 	入庫	c=28 d=0.00927901 t=42928
ru o 	入哦	c=1 d=1.54833e-55 t=42928
ru qin 	入侵	c=1 d=9.83572e-12 t=42928
ru xia 	如下	c=15 d=1.12264e-08 t=42928
ru you 	如有	c=1 d=1 t=39990
ruan jian 	軟件	c=1 d=3.89509e-25 t=42928
ruan jian yuan 	軟件園	c=1 d=3.41926e-52 t=42928
ruan jian yuan 	軟件源	c=1 d=3.65971e-28 t=42928
rui 	瑞	c=1 d=0.219808 t=42928
sai fa sai fa 	賽發賽發	c=1 d=5.94723e-06 t=42928
sai fong ai fa 	賽甮唉發	c=1 d=1 t=40984
san 	三	c=0 d=7.03564e-42 t=42928
san ci 	三次	c=6 d=2.796e-42 t=42928
san dian 	三點	c=1 d=1 t=41763
san ge 	三個	c=7 d=1.89915e-08 t=42928
san jie 	三節	c=1 d=2.3473e-09 t=42928
san li tun 	三里屯	c=1 d=1.58079e-05 t=42928
san lian 	三連	c=1 d=1.50104e-43 t=42928
san tai 	三臺	c=1 d=7.60679e-13 t=42928
sang 	桑	c=1 d=7.35548e-64 t=42928
sao ma 	掃碼	c=1 d=4.3417e-09 t=42928
sao wei 	臊味	c=1 d=8.03013e-67 t=42928
se qing 	色情	c=1 d=1.4412e-35 t=42928
sha 	啥	c=26 d=8.39084e-05 t=42928
sha bi 	傻逼	c=1 d=1.0044e-81 t=42928
sha dong xi 	啥東西	c=1 d=1.06267e-68 t=42928
sha dou 	啥都	c=5 d=1.43568e-11 t=42928
sha dou bu hui 	啥都不會	c=1 d=1.4504e-51 t=42928
sha dou mei you 	啥都沒有	c=1 d=4.61174e-13 t=42928
sha le 	傻了	c=1 d=1.85634e-13 t=42928
sha shi 	啥事	c=1 d=1.09925e-25 t=42928
sha wan yi 	啥萬一	c=1 d=1.79219e-11 t=42928
sha ye 	啥也	c=1 d=3.9528e-52 t=42928
sha yi si 	啥意思	c=4 d=0.00190579 t=42928
sha zi 	傻子	c=1 d=5.11137e-76 t=42928
sha zi 	啥子	c=1 d=5.08587e-76 t=42928
shai xuan 	篩選	c=33 d=0.0297478 t=42928
shan 	刪	c=15 d=9.45271e-05 t=42928
shan ba 	刪吧	c=1 d=1 t=40261
shan chu 	刪除	c=45 d=0.818248 t=42928
shan dian 	閃電	c=0 d=2.23382e-74 t=42928
shan dian dai 	閃電貸	c=1 d=2.24501e-73 t=42928
shan diao 	刪掉	c=5 d=2.34084e-06 t=42928
shan dong 	山東	c=5 d=2.87626e-61 t=42928
shan le 	刪了	c=6 d=7.63574e-06 t=42928
shan shang 	山上	c=1 d=2.74029e-36 t=42928
shang 	上	c=106 d=1.14473 t=42928
shang an 	上岸	c=1 d=1 t=41980
shang ban 	上班	c=9 d=7.64134e-06 t=42928
shang ban jian 	上班建	c=1 d=1.07947e-76 t=42928
shang bao 	上報	c=1 d=3.65698e-78 t=42928
shang bu liao 	上不了	c=1 d=7.46284e-58 t=42928
shang ceng 	上層	c=2 d=1.07532 t=42335
shang chang 	商場	c=1 d=1.24973e-05 t=42928
shang che 	上車	c=1 d=5.28263e-52 t=42928
shang chuan 	上傳	c=1 d=3.09115e-71 t=42928
shang ci 	上次	c=12 d=0.00510481 t=42928
shang di 	上地	c=1 d=3.43651e-23 t=42928
shang ge 	上個	c=0 d=2.5001e-46 t=42928
shang ge xian 	上個線	c=4 d=3.57482e-36 t=42928
shang ge yue 	上個月	c=1 d=3.9292e-11 t=42928
shang huo 	上火	c=1 d=3.5125e-45 t=42928
shang ke yi 	上可以	c=1 d=2.65054e-56 t=42928
shang le 	上了	c=4 d=0.000418452 t=42928
shang lou 	上樓	c=1 d=1.35769e-68 t=42928
shang mian 	上面	c=12 d=0.00110638 t=42928
shang na er 	上哪兒	c=2 d=1.32012e-32 t=42928
shang qu 	上去	c=2 d=2.55199e-22 t=42928
shang shi 	上市	c=1 d=1 t=41509
shang shu 	上述	c=1 d=7.25091e-72 t=42928
shang tu 	上圖	c=1 d=2.87277e-62 t=42928
shang wan 	上萬	c=0 d=4.7535e-76 t=42928
shang wan ge 	上萬個	c=1 d=4.77733e-75 t=42928
shang wan xian 	上完線	c=1 d=4.94666e-73 t=42928
shang wang 	上網	c=2 d=2.3553e-49 t=42928
shang wu 	上午	c=19 d=1.33416e-06 t=42928
shang xia ban 	上下班	c=2 d=6.4914e-35 t=42928
shang xian 	上線	c=126 d=0.443298 t=42928
shang xian 	上限	c=1 d=6.72377e-37 t=42928
shang xin 	傷心	c=3 d=4.49376e-61 t=42928
shang xing 	上行	c=2 d=1.95123 t=42746
shang yi 	上一	c=0 d=2.45853e-84 t=42928
shang yi 	上衣	c=1 d=7.5625e-67 t=42928
shang yi ji 	上一級	c=1 d=2.47085e-83 t=42928
shang you 	上游	c=12 d=0.000267872 t=42928
shang zai 	尚在	c=3 d=3.40406e-29 t=42928
shang zhou 	上週	c=3 d=9.59614e-81 t=42928
shao 	少	c=8 d=0.000117386 t=42928
shao deng 	稍等	c=17 d=0.0228227 t=42928
shao ge 	少個	c=1 d=4.12758e-61 t=42928
shao hou 	稍後	c=7 d=3.40571e-27 t=42928
shao kao 	燒烤	c=1 d=2.4916e-05 t=42928
shao le 	少了	c=1 d=1.34235e-52 t=42928
shao nian 	少年	c=1 d=3.39469e-26 t=42928
shao shu 	少數	c=2 d=1.79057 t=41390
she 	涉	c=2 d=2.22667e-35 t=42928
she 	設	c=8 d=4.06072e-16 t=42928
she bao 	社保	c=10 d=9.86938e-19 t=42928
she ding 	設定	c=2 d=1.96079 t=42575
she ji 	涉及	c=12 d=7.77716e-14 t=42928
she ji 	設計	c=45 d=1.15984e-09 t=42928
she ji hao 	設計好	c=2 d=1.00882e-15 t=42928
